Comments:  commonly  misspelled  words,  taken  from https://raw.githubusercontent.com/AdmitHub/normalize-english/master/data/spellfix.js
COLUMN 1:  the correct spelling; COLUMN 2: misspelled word
his                           ihs                           
illegal                       ilegle                        
illogical                     ilogical                      
illumination                  ilumination                   
immaturity                    imaturity                     
immediate                     imediate                      
immediately                   imediately                    
immediately                   imediatly                     
immense                       imense                        
immigrants                    imigrants                     
immediately                   immediatelly                  
immediately                   immediatley                   
immediately                   immediatly                    
immediate                     immediete                     
immediately                   immedietely                   
eminently                     immenantly                    
immediately                   immidately                    
immediate                     immidiate                     
immediately                   immidiately                   
imitating                     immitating                    
imitator                      immitator                     
immutable                     immuntable                    
impedance                     impedence                     
empiric                       imperic                       
empirically                   imperically                   
impression                    impession                     
impromptu                     impromtu                      
improvement                   improvemnt                    
improvisation                 improvision                   
improvement                   improvment                    
impugn                        impune                        
inaccessible                  inaccesabele                  
inaccessible                  inaccessabele                 
inaccessible                  inacesabel                    
inaccessible                  inacesabele                   
inaccessible                  inacesable                    
inaccessible                  inacesibel                    
inaccessible                  inacesibele                   
inaccessible                  inacesible                    
inaccessible                  inacessabel                   
inaccessible                  inacessabele                  
inaugurates                   inaugures                     
imbalanced                    inbalanced                    
embankment                    inbankment                    
incidentally                  incidently                    
incompatibilities             incompatabilities             
incompatibility               incompatability               
incompatible                  incompatable                  
incompatibilities             incompatablities              
incompatibility               incompatablity                
incompatibilities             incompatiblities              
incompatibility               incompatiblity                
incompetence                  incompetance                  
inconsistency                 inconsistancy                 
incorporation                 incorperation                 
incorruptible                 incorruptable                 
encourage                     incourage                     
incredibly                    incredably                    
incumbency                    incumbancy                    
incumbent                     incumbant                     
incunabula                    incunabla                     
independence                  indenpendence                 
independently                 indepedantly                  
independence                  indepedence                   
independence                  independance                  
independent                   independant                   
independence                  independece                   
endeavor                      indever                       
indicative                    indicitive                    
indisputable                  indisputible                  
indisputably                  indisputibly                  
endurance                     indurance                     
endure                        indure                        
inevitable                    inevatible                    
inevitable                    inevitible                    
inexhaustible                 inexhaustable                 
infantry                      infanty                       
inferable                     inferrable                    
infiltrate                    infilitrate                   
infiltrated                   infilitrated                  
influenced                    influented                    
infrastructure                infrastucture                 
indian                        inidan                        
initiation                    initation                     
includes                      inlcudes                      
innocence                     innosense                     
inundated                     innundated                    
inundation                    innundation                   
inseparable                   inseperable                   
inception                     insepsion                     
insistence                    insistance                    
insisting                     insiting                      
institution                   insitution                    
institutions                  insitutions                   
installations                 instalations                  
installed                     instaleld                     
instantiation                 instanciation                 
instantiation                 instanseation                 
instance                      instatance                    
instinct                      instict                       
ensue                         insue                         
interchangeable               interchangable                
interchangeably               interchangably                
interrelated                  interelated                   
interference                  interfearance                 
interference                  interferance                  
integral                      intergral                     
integrated                    intergrated                   
integration                   intergration                  
international                 internation                   
internationally               internationaly                
interpret                     interpet                      
interpret                     interpretate                  
interregnum                   interrugum                    
interim                       interrum                      
interruptible                 interruptable                 
entertaining                  intertaining                  
interim                       interum                       
interruption                  interuption                   
interval                      intervall                     
intervals                     intervalls                    
intersection                  intesection                   
intersections                 intesections                  
intrigue                      intreeg                       
interpretation                intrepetation                 
intriguing                    intruiging                    
interpretation                inturpratasion                
interpret                     inturprett                    
invitation                    invitiation                   
invocation                    invokation                    
involvement                   involvment                    
irrelevant                    irelevent                     
initial                       ititial                       
interests                     itnerests                     
jagged                        jagid                         
just                          jstu                          
judgment                      judgement                     
judgment                      jugment                       
journey                       jurny                         
kilometers                    kilometres                    
kilohm                        kiloohm                       
kilohms                       kiloohms                      
noxious                       knockous                      
knowledgeable                 knowlegable                   
know                          knwo                          
knows                         knwos                         
knows                         konws                         
labeled                       labelled                      
label                         lable                         
labeled                       labled                        
laborious                     labourious                    
languages                     laguages                      
largest                       larggest                      
largest                       largst                        
laid                          layed                         
laser                         lazer                         
lasers                        lazers                        
lenient                       leaneant                      
league                        leeg                          
leisurely                     leisurly                      
learns                        lerans                        
lexicon                       lexion                        
library                       libary                        
like                          liek                          
likelihood                    likelyhood                    
likelihood                    liklihood                     
limited                       limitated                     
licence                       liscence                      
literature                    litature                      
literally                     literaly                      
located                       loacted                       
loosely                       loosly                        
libya                         lybia                         
maintenance                   maintainance                  
maintenance                   maintainence                  
maintenance                   maintance                     
mentioned                     maintioned                    
makes                         makse                         
managed                       managged                      
manufacturing                 manufaturing                  
maneuver                      manuver                       
majority                      marjority                     
mars                          marz                          
matches                       matchs                        
mathematicians                matheticians                  
mathematicians                mathmaticians                 
matinee                       matinay                       
mechanism                     mechanisim                    
megohm                        megaohm                       
megohms                       megaohms                      
millennium                    melineum                      
messages                      mesages                       
measures                      mesures                       
metallurgic                   metalurgic                    
metallurgical                 metalurgical                  
metallurgy                    metalurgy                     
metamorphosis                 metamorphysis                 
meters                        metres                        
million                       milion                        
millions                      milions                       
minute                        minut                         
minutes                       minuts                        
miscellaneous                 miscelaneous                  
miscellaneous                 miscellanious                 
miscellaneous                 miscellanous                  
mischievous                   mischevus                     
misdemeanors                  misdemenors                   
miscellaneous                 miselaneous                   
misspell                      mispell                       
misspelled                    mispelled                     
misspelling                   mispelling                    
misspellings                  mispellings                   
mississippi                   missisipi                     
makes                         mkaes                         
moment                        moent                         
monitor                       moniter                       
monolithic                    monolite                      
months                        monthes                       
monotypic                     montypic                      
mosaic                        mosiac                        
mosaics                       mosiacs                       
maybe                         mybe                          
gnarled                       narled                        
necessarily                   necasarilly                   
necessarily                   necasarily                    
necessarily                   necaserilly                   
necessarily                   necaserily                    
necessary                     necasery                      
necessarily                   necassarilly                  
necessarily                   necassarily                   
necessarily                   necasserilly                  
necessarily                   necasserily                   
necessary                     necassery                     
necessarily                   neccasarilly                  
necessarily                   neccasarily                   
necessary                     neccasary                     
necessarily                   neccaserilly                  
necessarily                   neccaserily                   
necessary                     neccasery                     
necessarily                   neccassarilly                 
necessarily                   neccassarily                  
necessary                     neccassary                    
necessarily                   neccasserilly                 
necessarily                   neccasserily                  
necessary                     neccassery                    
necessarily                   neccesarilly                  
necessarily                   neccesarily                   
necessarily                   necceserilly                  
necessarily                   necceserily                   
necessities                   neccesities                   
necessity                     neccesity                     
necessarily                   neccessarilly                 
necessarily                   neccessarily                  
necessarily                   neccesserilly                 
necessarily                   neccesserily                  
necessities                   neccessities                  
necessity                     neccessity                    
necessarily                   necesarilly                   
necessarily                   necesarily                    
necessarily                   neceserilly                   
necessarily                   neceserily                    
necessities                   necesities                    
necessity                     necesity                      
necessarily                   necessarally                  
necessarily                   necessarilly                  
necessarily                   necesserilly                  
necessarily                   necesserily                   
negativity                    negitivity                    
negligible                    neglible                      
negligible                    negligable                    
negotiated                    negociated                    
negotiating                   negociating                   
negotiation                   negociation                   
negotiable                    negotable                     
negotiation                   negotation                    
negotiating                   negotiaing                    
neighbors                     neigbors                      
neighboring                   neighbouring                  
neighborhoods                 neihborhoods                  
necessary                     nessacary                     
necessarily                   nessasarily                   
necessary                     nessecary                     
nostalgia                     nestolgia                     
nuance                        newance                       
newly                         newely                        
pneumatic                     newmatic                      
pneumonia                     newmonia                      
nickel                        nickle                        
neither                       niether                       
nineteen                      ninteen                       
nineteenth                    ninteenth                     
ninety                        ninty                         
niche                         nitch                         
know                          nkwo                          
noisy                         noisey                        
nonetheless                   nontheless                    
northernmost                  norhernmost                   
northern                      northen                       
northeastern                  northereastern                
notable                       noteable                      
notably                       noteably                      
north                         noth                          
northern                      nothern                       
noticeable                    noticable                     
noticeably                    noticably                     
noticeable                    noticible                     
notorious                     notoreous                     
noteworthy                    notworthy                     
nothing                       nthng                         
neutral                       nuetral                       
neutrality                    nuetrality                    
nullarbor                     nullabour                     
numbers                       numers                        
nuremberg                     nuremburg                     
nothing                       nuthin                        
neutral                       nutral                        
never                         nver                          
now                           nwo                           
observation                   obervation                    
obsolescence                  obsolecence                   
obsolescence                  obsolecense                   
obsolescence                  obsolesence                   
obsolescence                  obsolesense                   
obstacle                      obstacal                      
obstacle                      obsticle                      
obvious                       obviuos                       
occasion                      ocasion                       
occasional                    ocasional                     
occasionally                  ocasionally                   
occasionally                  ocasionaly                    
occasioned                    ocasioned                     
occasions                     ocasions                      
occasion                      ocassion                      
occasional                    ocassional                    
occasionally                  ocassionally                  
occasioned                    ocassioned                    
occasions                     ocassions                     
occasionally                  occaisionally                 
occasionally                  occasionaly                   
occasion                      occassion                     
occasional                    occassional                   
occasionally                  occassionally                 
occasionally                  occassionaly                  
occasioned                    occassioned                   
occasions                     occassions                    
occasion                      occation                      
occasionally                  occationally                  
occurrence                    occurance                     
occurrences                   occurances                    
occurred                      occured                       
occurrence                    occurence                     
occurrences                   occurences                    
occurring                     occuring                      
occur                         occurr                        
occurrence                    occurrance                    
occurrences                   occurrances                   
oceanarium                    ocenarium                     
oscillate                     ocilate                       
octagonal                     octogonal                     
octahedra                     octohedra                     
octahedral                    octohedral                    
octahedron                    octohedron                    
countries                     ocuntries                     
country                       ocuntry                       
occur                         ocur                          
occur                         ocurr                         
occurrence                    ocurrance                     
occurred                      ocurred                       
occurrence                    ocurrence                     
operator                      oeprator                      
often                         offen                         
offered                       offerd                        
official                      offical                       
officially                    offically                     
officially                    officaly                      
officially                    officialy                     
offshoot                      offshot                       
often                         oftenly                       
omission                      omision                       
omitted                       omited                        
omitting                      omiting                       
omission                      ommision                      
omitted                       ommited                       
omitting                      ommiting                      
omitted                       ommitted                      
omitting                      ommitting                     
only                          onyl                          
opaque                        opayk                         
opened                        openend                       
opportunity                   opertunity                    
opinion                       opinyon                       
opponent                      oponent                       
opportunity                   oportunity                    
opposite                      oposite                       
opposites                     oposites                      
opposition                    oposition                     
opposite                      oppasite                      
opened                        oppened                       
opening                       oppening                      
operate                       opperate                      
operation                     opperation                    
opportunity                   oppertunity                   
opinion                       oppinion                      
opposite                      opposate                      
opposable                     opposible                     
opposite                      opposit                       
opposite                      oppisite                      
opportunities                 oppotunities                  
opportunity                   oppotunity                    
oppression                    opression                     
oppressive                    opressive                     
ordinance                     ordanance                     
organism                      organim                       
original                      orginal                       
originated                    orginated                     
organization                  orginization                  
organize                      orginize                      
organized                     orginized                     
originally                    originaly                     
originally                    originnally                   
original                      origional                     
originally                    orignally                     
original                      origonal                      
orthogonal                    orthagonal                    
orthogonally                  orthagonally                  
oscilloscope                  oscilliscope                  
output                        outputted                     
overshadowed                  overshaddowed                 
overrun                       overun                        
overwhelm                     overwelm                      
overwhelming                  overwelming                   
work                          owrk                          
would                         owudl                         
oxidant                       oxident                       
oxygen                        oxigen                        
oxymoron                      oximoron                      
oxygen                        oxyen                         
paid                          paide                         
paper                         papaer                        
paradigm                      paradime                      
paradigm                      paradym                       
parallel                      paralel                       
parallel                      paralell                      
parallelly                    paralelly                     
parallels                     paralels                      
parallelly                    paralely                      
parallel                      parallell                     
parallelly                    parallely                     
parenthesis                   paranthesis                   
particular                    parituclar                    
parallel                      parralel                      
parallel                      parralell                     
parallel                      parrallel                     
parallel                      parrallell                    
parallelly                    parrallelly                   
parallelly                    parrallely                    
partially                     parshally                     
partially                     partialy                      
participant                   particpant                    
participated                  particpated                   
particularly                  particularily                 
particularly                  particulary                   
particularly                  particullarly                 
particularly                  particullary                  
particularly                  paticularly                   
patented                      pattented                     
paid                          payed                         
payment                       paymetn                       
payments                      paymetns                      
peculiar                      peculure                      
pedestal                      pedistal                      
piece                         peice                         
pieces                        peices                        
pierce                        peirce                        
piercing                      peircing                      
penalty                       penatly                       
pennsylvania                  pennsilvania                  
pennsylvania                  pensylvania                   
perceived                     percepted                     
perceive                      percieve                      
perceived                     percieved                     
performance                   performace                    
performance                   performence                   
preferred                     perfurd                       
perhaps                       perhasp                       
perhaps                       perheaps                      
perhaps                       perhpas                       
permanent                     permanant                     
permanent                     permantent                    
permanent                     permenant                     
permanent                     perminent                     
permissible                   permissable                   
prerogative                   perogative                    
period                        peroid                        
periods                       peroids                       
personal                      peronal                       
prepare                       perpare                       
perhaps                       perphas                       
perpendicular                 perpindicular                 
perennial                     perrenial                     
precede                       perseed                       
preserve                      perserve                      
perseverance                  perserverance                 
persevere                     perservere                    
perseverance                  perserverence                 
perseverance                  perseverence                  
perseverant                   perseverent                   
pursue                        persew                        
persistence                   persistance                   
persistent                    persistant                    
person                        persne                        
personally                    personalyl                    
personnel                     personel                      
personnel                     personell                     
persona                       personna                      
personnel                     personnell                    
pursue                        persue                        
pursuing                      persuing                      
pursuit                       persuit                       
participate                   perticipate                   
pertinent                     pertinate                     
perturbation                  pertubation                   
perturbations                 pertubations                  
purview                       perview                       
pewter                        pewder                        
philadelphia                  philedelphia                  
philippines                   philipines                    
philippine                    phillipine                    
philippine                    phillippine                   
philippines                   phillippines                  
pitch                         pich                          
planned                       planed                        
plateau                       plattoe                       
pneumonic                     pneumonic                     
possession                    pocession                     
people                        poeple                        
popular                       polular                       
poor                          poore                         
population                    populaion                     
popularity                    popularaty                    
problem                       porblem                       
problems                      porblems                      
peripheral                    poriferal                     
propensity                    porpensity                    
porcelain                     porsalin                      
portrayal                     portrail                      
portuguese                    portugeese                    
portuguese                    portugese                     
provide                       porvide                       
possess                       posess                        
possessed                     posessed                      
possesses                     posesses                      
possessing                    posessing                     
possession                    posession                     
possessions                   posessions                    
position                      posistion                     
postpone                      pospone                       
possible                      possable                      
possibly                      possably                      
possess                       posses                        
possesses                     posseses                      
possessing                    possesing                     
possession                    possesion                     
possessions                   possesions                    
possibility                   possibilty                    
possibly                      possibily                     
position                      possition                     
potsdam                       postdam                       
position                      postion                       
position                      postition                     
posthumous                    postuminus                    
posthumous                    postumus                      
potentially                   potentialy                    
powerful                      powerfull                     
practical                     practial                      
practically                   practially                    
practically                   practicaly                    
practitioner                  practicianer                  
practitioner                  practicioner                  
practitioners                 practicioners                 
practically                   practicly                     
practitioner                  practioner                    
practitioners                 practioners                   
practice                      pratice                       
preamble                      preample                      
predecessor                   precedessor                   
precede                       preceed                       
preceded                      preceeded                     
preceding                     preceeding                    
precedes                      preceeds                      
precursor                     precurser                     
predominantly                 predomiantly                  
predominantly                 predominately                 
prefecture                    prefacture                    
preference                    preferance                    
preferred                     prefered                      
preferring                    prefering                     
preferable                    preferrable                   
preferably                    preferrably                   
preferred                     preffered                     
proficiency                   preficiency                   
proficient                    preficient                    
perform                       preform                       
perhaps                       prehaps                       
prejudice                     prejudgudice                  
premiered                     premeired                     
premillennial                 premillenial                  
premises                      premisis                      
permission                    premission                    
premonstratensians            premonasterians               
prepare                       prepair                       
preparation                   prepartion                    
preparatory                   prepatory                     
preparation                   preperation                   
preparations                  preperations                  
preparatory                   preperatory                   
presence                      presance                      
presence                      presense                      
pristine                      prestine                      
presumably                    presumibly                    
prevalence                    prevelance                    
prevalent                     prevelant                     
prevention                    preventation                  
previous                      previvous                     
program                       prgram                        
programming                   prgrmmng                      
principal                     pricipal                      
principle                     priciple                      
primarily                     primarly                      
primitive                     primative                     
primitively                   primatively                   
primitives                    primatives                    
primeval                      primevil                      
primordial                    primordal                     
principal                     principial                    
principally                   principly                     
princeton                     princton                      
principal                     prinicipal                    
pristine                      pristene                      
private                       privat                        
privilege                     priveledge                    
privileges                    priveledges                   
privilege                     privelege                     
privileged                    priveleged                    
privileges                    priveleges                    
privilege                     privelidge                    
privilege                     privelige                     
privileged                    priveliged                    
privileges                    priveliges                    
privilege                     privilage                     
privilege                     priviledge                    
privileges                    priviledges                   
privilege                     privilidge                    
privilege                     privilige                     
privilege                     privledge                     
probably                      probabaly                     
probably                      probablly                     
probability                   probalibity                   
probably                      probaly                       
problem                       probelm                       
problems                      probelms                      
problem                       problen                       
problems                      problens                      
process                       proccess                      
processing                    proccessing                   
proceed                       procede                       
procedure                     procedger                     
proceeding                    proceding                     
proceedings                   procedings                    
procedure                     proceedure                    
proclaimed                    proclamed                     
proclaiming                   proclaming                    
proclamation                  proclimation                  
proclamation                  proclomation                  
product                       produc                        
products                      producs                       
proficient                    profecient                    
professor                     profesor                      
profession                    proffesion                    
professional                  proffesional                  
professor                     proffesor                     
prolific                      profilic                      
programmable                  programable                   
program                       programm                      
program                       programme                     
prominence                    prominance                    
prominent                     prominant                     
prominently                   prominantly                   
prominent                     prominate                     
probably                      propably                      
proprietary                   propietary                    
propaganda                    propoganda                    
propagate                     propogate                     
propagated                    propogated                    
propagates                    propogates                    
propagating                   propogating                   
propagation                   propogation                   
propagator                    propogator                    
proportions                   propotions                    
proper                        propper                       
proprietary                   propreitory                   
proprietary                   propriatery                   
proprietor                    proprieter                    
proprietary                   proprietory                   
protocol                      protocal                      
protocol                      protocall                     
portrayed                     protrayed                     
provided                      provded                       
province                      provice                       
proximity                     proximaty                     
proximity                     proximety                     
propensity                    prpensity                     
position                      psoition                      
pseudo                        psuedo                        
progress                      ptogress                      
purposely                     purposedly                    
persuade                      pursuade                      
persuaded                     pursuaded                     
persuades                     pursuades                     
pertain                       purtain                       
persuading                    pususading                    
putting                       puting                        
power                         pwoer                         
quadruple                     quadroople                    
qualitative                   qualitatative                 
quandary                      quandry                       
quantity                      quanity                       
quantity                      quantaty                      
quantity                      quantitiy                     
quarantine                    quarantaine                   
quarter                       quater                        
quarterly                     quaterly                      
quarters                      quaters                       
question                      quesion                       
questions                     quesions                      
questions                     questioms                     
questions                     questiosn                     
question                      questoin                      
question                      quetion                       
questions                     quetions                      
quickly                       quicklyu                      
quietly                       quitely                       
quotient                      quotion                       
radius                        radeus                        
rarely                        rarley                        
release                       realease                      
released                      realeased                     
realistically                 realisticaly                  
related                       realted                       
relative                      realtive                      
relatively                    realtively                    
relativistic                  realtivistic                  
rebuttal                      rebuttle                      
recommend                     reccomend                     
recommendation                reccomendation                
recommendations               reccomendations               
recommended                   reccomended                   
recommending                  reccomending                  
recommends                    reccomends                    
recommend                     reccommend                    
recommended                   reccommended                  
recommending                  reccommending                 
recurring                     reccuring                     
recede                        receed                        
receded                       receeded                      
receding                      receeding                     
receive                       receieve                      
reside                        recide                        
resided                       recided                       
resident                      recident                      
residents                     recidents                     
residing                      reciding                      
receipt                       reciept                       
receipts                      reciepts                      
receive                       recieve                       
received                      recieved                      
receiver                      reciever                      
receivers                     recievers                     
receives                      recieves                      
receiving                     recieving                     
recognise                     recogise                      
recognize                     recogize                      
recommend                     recomend                      
recommendable                 recomendable                  
recommendation                recomendation                 
recommendations               recomendations                
recommended                   recomended                    
recommending                  recomending                   
recommends                    recomends                     
recommend                     recommand                     
recommends                    recommands                    
recommended                   recommented                   
recognize                     reconize                      
required                      recquired                     
record                        recrod                        
recruit                       recroot                       
recruited                     recruted                      
reckoned                      recund                        
recurrence                    recurrance                    
recurrent                     recurrant                     
reducible                     reduceable                    
referral                      referal                       
referred                      refered                       
referring                     refering                      
refers                        referrs                       
referred                      reffered                      
reference                     refference                    
refrigeration                 refridgeration                
refrigerator                  refridgerator                 
refusal                       refusla                       
regular                       regluar                       
regardless                    reguardless                   
regularly                     reguarly                      
regularly                     regularily                    
regularly                     regulary                      
rehearsal                     rehearsel                     
rehearsal                     rehersal                      
renown                        reknown                       
renowned                      reknowned                     
real                          rela                          
relegate                      relagate                      
relegated                     relagated                     
relationship                  relatiopnship                 
relatively                    relativly                     
relevant                      relavant                      
relevant                      relavent                      
relief                        releaf                        
relieve                       releive                       
relieved                      releived                      
relevance                     relevence                     
relevant                      relevent                      
relic                         relict                        
relics                        relicts                       
relatively                    relitively                    
realization                   relization                    
realize                       relize                        
realm                         relm                          
reluctant                     reluctent                     
remainder                     remainer                      
remaining                     remaing                       
remaining                     remainging                    
remnant                       remanant                      
remnants                      remanants                     
remain                        remane                        
remaining                     remaning                      
remember                      rember                        
remember                      remeber                       
remembrance                   rememberance                  
remembrance                   remembrence                   
remnant                       remenant                      
remnants                      remenants                     
remnant                       remenent                      
remnants                      remenents                     
reminisce                     remeniss                      
remnant                       reminent                      
reminiscent                   reminescent                   
reminiscent                   reminicent                    
reminiscent                   reminisent                    
remnants                      remnance                      
rendezvous                    rendevous                     
renaissance                   renisance                     
renaissance                   rennaisance                   
renown                        renoun                        
recommend                     reommend                      
repertoire                    repatwar                      
repellent                     repelant                      
repellent                     repellant                     
replies                       repies                        
replenish                     replentish                    
response                      reponse                       
responsible                   reponsible                    
rapport                       repore                        
representatives               representativs                
representative                representive                  
representatives               representives                 
represented                   represetned                   
represent                     represnt                      
republic                      repubic                       
requiem                       requeum                       
resemblance                   resembelance                  
resemblance                   resemblence                   
research                      reserach                      
reservoir                     reservior                     
reservoirs                    reserviors                    
reservoir                     reservor                      
reservoir                     resevior                      
reservoirs                    reseviors                     
reservoir                     resevoir                      
reservoirs                    resevoirs                     
residence                     residance                     
resident                      residant                      
residents                     residants                     
resistible                    resistable                    
resistance                    resistence                    
resistant                     resistent                     
reservoir                     resivwar                      
resolution                    resollution                   
reason                        reson                         
reasonable                    resonable                     
resources                     resorces                      
recourses                     resourses                     
respond                       respomd                       
response                      respomse                      
response                      responce                      
responsibility                responnsibilty                
responsibility                responsability                
responsible                   responsable                   
responsible                   responsibile                  
responsibility                responsiblity                 
responsible                   resposible                    
resemblance                   ressemblance                  
resemble                      ressemble                     
resembled                     ressembled                    
resemblance                   ressemblence                  
resembling                    ressembling                   
resort                        ressort                       
restoration                   restauration                  
resurrecting                  resurecting                   
resurgence                    resurgance                    
retaliated                    retalitated                   
retaliation                   retalitation                  
rather                        rether                        
retinue                       retinew                       
rhetoric                      retoric                       
rhetorical                    retorical                     
result                        reult                         
reevaluated                   revaluated                    
review                        reveiw                        
reviewing                     reveiwing                     
relevance                     revelance                     
relevant                      revelant                      
reverence                     reverance                     
reverend                      reverand                      
reverent                      reverant                      
reversible                    reversable                    
revolutionary                 revolutionar                  
rewrite                       rewriet                       
ricochet                      rickoshay                     
ridge                         rige                          
rigueur                       rigeur                        
rigorous                      rigourous                     
rigorously                    rigourously                   
reminisce                     rimaniss                      
reminiscent                   riminicent                    
ringing                       rininging                     
riddled                       rittled                       
rendezvous                    rondayvoo                     
rudimentary                   rudimentry                    
ruin                          ruine                         
ruins                         ruines                        
rule                          rulle                         
ruled                         rulled                        
rheumatic                     rumatic                       
russian                       russina                       
russian                       russion                       
write                         rwite                         
second                        sacond                        
safety                        saftey                        
safety                        safty                         
sapphire                      saphire                       
satellite                     satelite                      
satellites                    satelites                     
satellite                     satilite                      
satellite                     sattelite                     
satellites                    sattelites                    
satellite                     sattellite                    
severe                        savere                        
savvy                         savy                          
scalable                      scaleable                     
scandinavia                   scandanavia                   
schedule                      scedule                       
scheduled                     sceduled                      
scenario                      scenaireo                     
scenery                       scenary                       
sense                         scence                        
schedule                      schedual                      
script                        scirpt                        
scroll                        scoll                         
search                        seach                         
searched                      seached                       
searches                      seaches                       
secondary                     seconday                      
section                       sectino                       
sidereal                      sedereal                      
selection                     selction                      
selection                     selectoin                     
scenario                      senaireo                      
scenario                      senarreo                      
sense                         sence                         
sensible                      sensable                      
sentence                      sentance                      
second                        seond                         
separate                      separeate                     
separate                      seperate                      
separated                     seperated                     
separately                    seperately                    
separates                     seperates                     
separating                    seperating                    
separation                    seperation                    
search                        serach                        
circumstances                 sercumstances                 
serious                       sereous                       
series                        serieses                      
service                       serivce                       
serviced                      serivced                      
several                       serveral                      
several                       severeal                      
shadow                        shaddow                       
school                        shcool                        
shield                        sheild                        
shining                       shineing                      
shipped                       shiped                        
shoulder                      sholder                       
showing                       showinf                       
shredded                      shreded                       
sure                          shur                          
sure                          shure                         
succinctly                    sicinctly                     
since                         sicne                         
sidereal                      sideral                       
significant                   signifacnt                    
significantly                 signifantly                   
significantly                 significently                 
significant                   signifigant                   
sight                         sigth                         
sights                        sigths                        
syllabus                      sillybus                      
silhouette                    silowet                       
similar                       simalar                       
symmetric                     simetric                      
similarly                     similarily                    
similar                       similiar                      
similarity                    similiarity                   
similar                       simmilar                      
similarly                     simmilarly                    
simply                        simpley                       
simpler                       simplier                      
simply                        simpyl                        
similar                       simular                       
simultaneous                  simultanous                   
sincerely                     sincerley                     
sincerely                     sincerly                      
serious                       sirious                       
surveillance                  sirvaylence                   
situate                       sitaute                       
situated                      sitauted                      
still                         sitll                         
sieve                         sive                          
scandinavia                   skandinavia                   
skills                        skillz                        
school                        skool                         
sleeve                        sleave                        
slid                          slided                        
slippery                      slipperly                     
smooth                        smoothe                       
smooths                       smoothes                      
software                      sofware                       
show                          sohw                          
solely                        soley                         
solitaire                     solitare                      
soluble                       soluable                      
something                     somethign                     
something                     someting                      
somewhat                      somewaht                      
something                     somthing                      
sometimes                     somtimes                      
somewhere                     somwhere                      
sophisticated                 sophicated                    
sophomore                     sophmore                      
story                         sotry                         
sound                         soudn                         
sounds                        soudns                        
should                        sould                         
surround                      sourond                       
surrounding                   souronding                    
surround                      sourrond                      
surrounding                   sourronding                   
surrounding                   sourrounding                  
south                         sourth                        
southern                      sourthern                     
southeast                     southest                      
southeast                     southheast                    
spatial                       spacial                       
spanish                       spainish                      
specifically                  specificaly                   
specifically                  specificalyl                  
specimen                      speciman                      
spectacular                   spectactular                  
spectacular                   spectauclar                   
special                       speshal                       
specific                      spicific                      
split                         splitted                      
spontaneous                   spontanious                   
spontaneous                   spontanous                    
sponsored                     sponzored                     
spread                        spreaded                      
square                        sqaure                        
standards                     standars                      
strange                       stange                        
strategic                     startegic                     
strategies                    startegies                    
strategy                      startegy                      
statement                     statment                      
statements                    statments                     
stringent                     stingent                      
stand                         stnad                         
stochastic                    stocastic                     
story                         stopry                        
stories                       storeis                       
stories                       storise                       
strongest                     stornegst                     
strong                        storng                        
story                         stoyr                         
stop                          stpo                          
strategies                    stradegies                    
strategy                      stradegy                      
strand                        stran                         
streets                       streest                       
strengthen                    strenghen                     
strengthened                  strenghened                   
strengthening                 strenghening                  
strength                      strenght                      
strengthen                    strenghten                    
strengthened                  strenghtened                  
strengthening                 strenghtening                 
strenuous                     strenous                      
strength                      strentgh                      
strictest                     strictist                     
straight                      stright                       
struck                        striked                       
strand                        strnad                        
story                         stroy                         
structure                     structer                      
structure                     structue                      
struggle                      struggel                      
struggle                      strugle                       
stubbornness                  stubborness                   
structure                     stucture                      
structured                    stuctured                     
study                         studdy                        
studying                      studing                       
student                       studnet                       
stunning                      stuning                       
subcategories                 subcatagories                 
subcategory                   subcatagory                   
subconscious                  subconchus                    
subconscious                  subconcious                   
subject                       subjetc                       
subsequent                    subseqent                     
subsidiary                    subsidary                     
subsidiary                    subsiduary                    
substance                     substace                      
substantial                   substancial                   
substantial                   substatial                    
substitute                    substitude                    
subtract                      substract                     
subtracted                    substracted                   
subtracting                   substracting                  
subtraction                   substraction                  
subtracts                     substracts                    
succeeded                     succeded                      
success                       succes                        
successful                    succesful                     
successfully                  succesfully                   
successfully                  succesfuly                    
succession                    succesion                     
successive                    succesive                     
successful                    successfull                   
successfully                  successfuly                   
successfully                  successfulyl                  
succeed                       suceed                        
succeeded                     suceeded                      
succeeding                    suceeding                     
succeeds                      suceeds                       
successful                    sucesful                      
successfully                  sucesfully                    
successfully                  sucesfuly                     
succession                    sucesion                      
success                       sucess                        
successes                     sucesses                      
successful                    sucessful                     
successful                    sucessfull                    
successfully                  sucessfully                   
successfully                  sucessfuly                    
succession                    sucession                     
successive                    sucessive                     
succumb                       sucome                        
succeed                       sucsede                       
sufficient                    suffcient                     
sufficiently                  suffciently                   
suffrage                      sufferage                     
sufficient                    sufficent                     
sufficiently                  sufficently                   
sufficient                    sufficiant                    
sophisticated                 suffisticated                 
summary                       sumary                        
superseded                    superceded                    
supersedes                    supercedes                    
superseding                   superceding                   
supersede                     superceed                     
superseded                    superceeded                   
supersession                  supercession                  
superfluous                   superfulous                   
supersede                     superseed                     
sophisticated                 suphisticated                 
supplement                    suplement                     
suppose                       supose                        
supposed                      suposed                       
supposedly                    suposedly                     
supposes                      suposes                       
supposing                     suposing                      
supplement                    suppliment                    
supposed                      suppossed                     
